State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32513,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32514,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32516,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32520,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32521,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32522,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32523,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32524,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32526,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32533,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32534,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32535,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32559,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32560,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32568,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32577,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32590,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32591,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32592,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32110,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32135,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32136,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32137,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32142,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32164,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32320,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32322,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32323,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32328,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32329,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32324,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32330,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32332,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32333,Florida State and County,0.06,0.07500,0.01500,0,0,2
